Factor,Level 1,Level 2,Level 3,Level 4
A,-43.05224390050384,-26.811900170185886,-15.909750728679949,-11.335054719795139
B,-42.97425666360102,-22.79506316826115,-21.932681066551588,-15.426583230069898
C,-42.88285947673474,-27.96507373231611,-21.291680523226578,-14.28833870620145
D,-42.87351050668199,-23.183820389131395,-27.63526423605093,-16.038188619437243
