Factor,Level 1,Level 2,Level 3,Level 4
A,5.389820920250699,7.7405267084333,9.287619469699509,10.198635589038362
B,6.886790704832424,7.827933840341719,8.02164769661039,8.437852102560012
C,6.499490022284426,7.74693135060462,8.14190003139551,9.017395379986972
D,7.716187099187131,7.775485426486722,7.45618732336596,8.097813718182696
